lon,lat,object_id,mat_type,mat_tech,mat_prop,llrs,llrs_duct,height,height_1,yr_built,occupy,occupy_dt,str_irreg,str_irreg_dt,str_irreg_type,roof_shape,roofcovmat,roofsysmat,roofsystyp,roof_conn,floor_mat,floor_type,floor_conn,position,plan_shape
7.92112519631482,48.9146320083541,21069,MCF,RW,MO99,LO,DU99,H,1.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RSM99,RWO1,RTDP,FW,FW1,FWCN,BP1,PLFR
7.92277119382317,48.9143046199579,21123,MUR,ST99,MOC,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FC,FT99,FWCP,BPD,PLFR
7.92285677967441,48.9130889576228,21164,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,RES,RES1,IRRE,IRP99,IRT99,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC99,FWC99,BPD,PLFR
7.92359542834109,48.9139405357348,21193,MUR,MUN99,MO99,LO,DU99,H,2.0,Y99,OC99,OCCDT99,IRIR,IRVP,POP,RSH4,RMT1,RWO,RWO1,RTDP,FW,FW1,FWCP,BP99,PLF99
7.94880375,48.92214725,21210,MUR,MO,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FC,FC1,FWC99,BPD,PLFR
7.94972154809931,48.9235217197087,21217,MUR,MO,MO99,LO,DU99,H,1.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FT99,FWC99,BP1,PLFR
7.95006928492759,48.923995743524,21218,MUR,MUN99,MO99,LO,DU99,H,1.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC1,FWC99,BP1,PLFR
7.94929685292832,48.9226967503368,21301,MUR,MO,MO99,LO,DU99,H,1.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FC,FC1,FWC99,BPD,PLFR
7.94879771562604,48.921995164558,21302,MUR,CLBRS,MO99,LO,DU99,H,1.0,Y99,IND,IND2,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RCN99,FC,FC1,FWC99,BPD,PLFR
7.9501344213108,48.9239305548297,21307,MR,RW,MO99,LO,DU99,H,1.0,Y99,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FC,FC1,FWC99,BP1,PLFR
7.94653670477118,48.9244015177793,21335,MUR,MO,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FW,FW1,FWC99,BP1,PLFR
7.94484315919904,48.9241558012253,21382,MUR,CLBRS,MO99,LO,DU99,H,1.0,YAPP,VAC,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDN,FC,FC1,FWC99,BP1,PLFR
7.94505848118806,48.9243063403198,21437,MUR,MUN99,MO99,LO,DU99,H,2.0,Y99,RES,RES1,IRIR,IRVP,IRT99,RSH4,RMT1,RWO,RWO1,RTDP,FW,FW1,FWC99,BPD,PLFR
7.95006517315056,48.924678892454,21459,C99,CIP,MOC,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH3,RMT1,RWO,RWO1,RTDP,FC,FC1,FWCP,BPD,PLFR
7.94824679780126,48.9233364550642,21463,MUR,CLBRS,MO99,LO,DU99,H,2.0,YBET,RES,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDN,FW,FW1,FWCN,BP1,PLFR
7.94401687765668,48.9248604897669,21473,MUR,CLBRH,MOCL,LN,DNO,H,1.0,YAPP,IND,IND2,IRRE,IRP99,IRN,RSH5,RMT7,RWO,RWO1,RTDN,FC,FC1,FWCN,BP1,PLFR
7.94223755,48.92376675,21485,W,W99,MON,LN,DNO,H,1.0,Y99,AGR,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDN,FE,FT99,FWC99,BPD,PLFR
7.94212675,48.923912,21490,W,WO,MON,LN,DNO,H,1.0,YAPP,AGR,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT7,RWO,RWO1,RTDN,FE,FE99,FWCN,BPD,PLFR
7.94401909469235,48.9246125551492,21528,MUR,MO,MO99,LO,DU99,H,1.0,YAPP,IND,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT7,RWO,RWO1,RTDN,F99,FT99,FWC99,BPD,PLFR
7.94244449111202,48.9246257531154,21540,C99,CIP,MON,LO,DU99,H,2.0,YAPP,RES,OCCDT99,IRRE,IRP99,IRN,RSH3,RMT1,RWO,RWO1,RTDP,FC,FC1,FWC99,BPD,PLFR
7.94140674880681,48.9275653599927,21632,CU,CBH,MOC,LN,DNO,H,1.0,Y99,IND,COM2,IR99,IRP99,IRT99,RSH2,RMT1,RWO,RWO1,RTDN,F99,FT99,FWCN,BP2,PLFR
7.94254343800049,48.9276059710538,21637,MUR,MO,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FW,FW1,FWC99,BPD,PLFR
7.94387707187304,48.9282832461024,21686,MUR,MO,MO99,LO,DU99,H,2.0,YAPP,RES,RES1,IRRE,IRP99,IRN,RSH4,RMT1,RWO,RWO1,RTDP,FW,FW1,FWC99,BPD,PLFR
7.9433211527379,48.9280688528428,21695,MUR,CLBRS,MOC,LO,DU99,H,2.0,YAPP,IND,OCCDT99,IRRE,IRP99,IRN,RSH2,RMT1,RWO,RWO1,RTDP,FC,FC2,FWCP,BP3,PLFR
